,Country Name,Country Code,Series Name,Mean (2000-2019)
131,Mali,MLI,GDP (current US$),10317806048.650917
132,Malta,MLT,GDP (current US$),9080220806.376486
133,Marshall Islands,MHL,GDP (current US$),161224363.15789473
134,Mauritania,MRT,GDP (current US$),4992568862.778272
135,Mauritius,MUS,GDP (current US$),9555753374.071579
136,"Micronesia, Fed. Sts.",FSM,GDP (current US$),286002127.0190594
137,Moldova,MDA,GDP (current US$),6344929506.341347
138,Monaco,MCO,GDP (current US$),5361006109.266606
139,Mongolia,MNG,GDP (current US$),7459512901.159522
140,Montenegro,MNE,GDP (current US$),3610669952.729401
141,Morocco,MAR,GDP (current US$),84803048151.3372
142,Mozambique,MOZ,GDP (current US$),11585362526.12601
143,Myanmar,MMR,GDP (current US$),37287702671.54001
144,Namibia,NAM,GDP (current US$),9430206749.933935
145,Nauru,NRU,GDP (current US$),
146,Nepal,NPL,GDP (current US$),16941207353.048876
147,New Caledonia,NCL,GDP (current US$),7918055593.455918
148,New Zealand,NZL,GDP (current US$),145204556293.95645
149,Nicaragua,NIC,GDP (current US$),9001306107.00919
150,Niger,NER,GDP (current US$),7557340193.889181
151,Nigeria,NGA,GDP (current US$),318361276096.0323
152,North Macedonia,MKD,GDP (current US$),8661869424.923456
153,Northern Mariana Islands,MNP,GDP (current US$),974631578.9473684
154,Norway,NOR,GDP (current US$),370811554953.4505
155,Oman,OMN,GDP (current US$),58579740182.05463
156,Pakistan,PAK,GDP (current US$),195710858764.4981
157,Palau,PLW,GDP (current US$),206887926.31578946
158,Panama,PAN,GDP (current US$),34525258810.52631
159,Papua New Guinea,PNG,GDP (current US$),14137323405.536993
160,Paraguay,PRY,GDP (current US$),25060357017.53091
161,Peru,PER,GDP (current US$),139266279925.4938
162,Philippines,PHL,GDP (current US$),209374328363.53656
163,Poland,POL,GDP (current US$),418786672325.74066
164,Portugal,PRT,GDP (current US$),205750720180.39023
165,Puerto Rico,PRI,GDP (current US$),89458097700.0
166,Qatar,QAT,GDP (current US$),115329042557.92249
167,Romania,ROU,GDP (current US$),154855192203.40482
168,Rwanda,RWA,GDP (current US$),5833215061.935084
169,Samoa,WSM,GDP (current US$),611773542.878259
170,San Marino,SMR,GDP (current US$),1632962988.7873802
171,Sao Tome and Principe,STP,GDP (current US$),226779658.38525456
172,Senegal,SEN,GDP (current US$),15273301025.033531
173,Serbia,SRB,GDP (current US$),38050761956.822845
174,Seychelles,SYC,GDP (current US$),1086175968.3561687
175,Sierra Leone,SLE,GDP (current US$),2830192987.6837707
176,Singapore,SGP,GDP (current US$),226817842318.3474
177,Sint Maarten (Dutch part),SXM,GDP (current US$),
178,Slovak Republic,SVK,GDP (current US$),79941198707.85413
179,Slovenia,SVN,GDP (current US$),42485786227.39521
180,Solomon Islands,SLB,GDP (current US$),904712883.899535
181,Somalia,SOM,GDP (current US$),
182,South Africa,ZAF,GDP (current US$),320535675984.77795
183,South Sudan,SSD,GDP (current US$),
184,Sri Lanka,LKA,GDP (current US$),52122249674.41508
185,St. Kitts and Nevis,KNA,GDP (current US$),759608843.2272427
186,St. Lucia,LCA,GDP (current US$),1446126367.2514627
187,St. Martin (French part),MAF,GDP (current US$),
188,St. Vincent and the Grenadines,VCT,GDP (current US$),677562085.4723351
189,Sudan,SDN,GDP (current US$),56320335191.17043
190,Suriname,SUR,GDP (current US$),3304723226.839497
191,Sweden,SWE,GDP (current US$),457337891549.8045
192,Syrian Arab Republic,SYR,GDP (current US$),
193,Tajikistan,TJK,GDP (current US$),5267396879.310457
194,Tanzania,TZA,GDP (current US$),33291478077.78296
195,Thailand,THA,GDP (current US$),313978945913.01184
196,Timor-Leste,TLS,GDP (current US$),981835373.6842105
197,Togo,TGO,GDP (current US$),3741767411.6980143
198,Tonga,TON,GDP (current US$),346691018.5183199
199,Trinidad and Tobago,TTO,GDP (current US$),20178571663.123947
200,Tunisia,TUN,GDP (current US$),38579863242.07189
201,Turkmenistan,TKM,GDP (current US$),23863330680.39923
202,Turks and Caicos Islands,TCA,GDP (current US$),734077531.0526316
203,Tuvalu,TUV,GDP (current US$),32011843.41093628
204,Uganda,UGA,GDP (current US$),20810925216.628498
205,Ukraine,UKR,GDP (current US$),116899880670.00534
206,United Arab Emirates,ARE,GDP (current US$),282113903303.7619
207,Uruguay,URY,GDP (current US$),37709901973.3714
208,Uzbekistan,UZB,GDP (current US$),43551827189.13035
209,Vanuatu,VUT,GDP (current US$),602030512.8683043
210,"Venezuela, RB",VEN,GDP (current US$),
211,Vietnam,VNM,GDP (current US$),152945104322.05673
212,Virgin Islands (U.S.),VIR,GDP (current US$),3782947368.4210525
213,West Bank and Gaza,PSE,GDP (current US$),9647884210.526316
214,"Yemen, Rep.",YEM,GDP (current US$),24874843558.946815
215,Zambia,ZMB,GDP (current US$),17147975681.414576
216,Zimbabwe,ZWE,GDP (current US$),11883650140.341553
217,Africa Eastern and Southern,AFE,GDP (current US$),728133938515.1223
218,Africa Western and Central,AFW,GDP (current US$),538002557010.96906
219,Arab World,ARB,GDP (current US$),2008543117997.9045
220,Caribbean small states,CSS,GDP (current US$),59945735427.087456
221,Central Europe and the Baltics,CEB,GDP (current US$),1174430706253.7126
222,Early-demographic dividend,EAR,GDP (current US$),7771452751456.278
223,East Asia & Pacific,EAS,GDP (current US$),16476790051875.125
224,East Asia & Pacific (excluding high income),EAP,GDP (current US$),8405345492517.27
225,East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),8394299299703.483
226,Euro area,EMU,GDP (current US$),11419330687243.305
227,Europe & Central Asia,ECS,GDP (current US$),19131644911260.406
228,Europe & Central Asia (excluding high income),ECA,GDP (current US$),2543930737424.445
229,Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),3168967278502.0063
230,European Union,EUU,GDP (current US$),13138780676589.01
231,Fragile and conflict affected situations,FCS,GDP (current US$),1355127357915.2515
232,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),497972195650.70685
233,High income,HIC,GDP (current US$),42807969932907.03
234,IBRD only,IBD,GDP (current US$),18712900654790.05
235,IDA & IBRD total,IBT,GDP (current US$),20198492129299.934
236,IDA blend,IDB,GDP (current US$),677394186582.0623
237,IDA only,IDX,GDP (current US$),808731421692.9983
238,IDA total,IDA,GDP (current US$),1485841431135.3704
239,Late-demographic dividend,LTE,GDP (current US$),13091223337257.576
240,Latin America & Caribbean,LCN,GDP (current US$),4399350808257.415
241,Latin America & Caribbean (excluding high income),LAC,GDP (current US$),3742621862342.7383
242,Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),4215762877460.4243
243,Least developed countries: UN classification,LDC,GDP (current US$),670092361782.268
244,Low & middle income,LMY,GDP (current US$),19113579373243.05
245,Low income,LIC,GDP (current US$),407778727811.9997
246,Lower middle income,LMC,GDP (current US$),4767710062731.096
247,Middle East & North Africa,MEA,GDP (current US$),2542310121719.582
248,Middle East & North Africa (excluding high income),MNA,GDP (current US$),1196581732982.972
249,Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),1186933848772.4458
250,Middle income,MIC,GDP (current US$),18711183588452.863
251,North America,NAC,GDP (current US$),16396445325796.543
252,Not classified,INX,GDP (current US$),
253,OECD members,OED,GDP (current US$),42199891857985.96
254,Other small states,OSS,GDP (current US$),297727319631.39764
255,Pacific island small states,PSS,GDP (current US$),6972359236.996315
256,Post-demographic dividend,PST,GDP (current US$),39870213463267.91
257,Pre-demographic dividend,PRE,GDP (current US$),947792130269.1481
258,Small states,SST,GDP (current US$),364642612410.67975
259,South Asia,SAS,GDP (current US$),1959713070290.6375
260,South Asia (IDA & IBRD),TSA,GDP (current US$),1959713070290.6375
261,Sub-Saharan Africa,SSF,GDP (current US$),1265731673277.1562
262,Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),1264644258932.0254
263,Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),1265731673277.1558
264,Upper middle income,UMC,GDP (current US$),13943449659345.703
265,World,WLD,GDP (current US$),62178528830967.33
266,,,GDP (current US$),0.0
267,Data from database: World Development Indicators,,GDP (current US$),0.0
268,Last Updated: 09/16/2022,,GDP (current US$),0.0
269,Argentina,ARG,GDP per capita (current US$),8975.666319198723
270,Australia,AUS,GDP per capita (current US$),45457.862071201394
271,Brazil,BRA,GDP per capita (current US$),7989.280538530882
272,China,CHN,GDP per capita (current US$),4941.674492353173
273,France,FRA,GDP per capita (current US$),36501.97954051296
274,Germany,DEU,GDP per capita (current US$),38868.89647637348
275,India,IND,GDP per capita (current US$),1208.8577310713426
276,Indonesia,IDN,GDP per capita (current US$),2557.5682611050443
277,Italy,ITA,GDP per capita (current US$),31874.481502973194
278,Japan,JPN,GDP per capita (current US$),37519.91685887505
279,"Korea, Rep.",KOR,GDP per capita (current US$),22901.08199280872
280,Mexico,MEX,GDP per capita (current US$),8727.265444507
281,Netherlands,NLD,GDP per capita (current US$),45297.68561581593
282,Russian Federation,RUS,GDP per capita (current US$),9107.216668379935
283,Saudi Arabia,SAU,GDP per capita (current US$),17785.507952092
284,Spain,ESP,GDP per capita (current US$),26740.58278583852
285,Switzerland,CHE,GDP per capita (current US$),70022.4955125793
286,Turkiye,TUR,GDP per capita (current US$),8933.817056399617
287,United Kingdom,GBR,GDP per capita (current US$),39973.19806623349
288,United States,USA,GDP per capita (current US$),48148.08412388896
289,Afghanistan,AFG,GDP per capita (current US$),411.85850829308356
290,Albania,ALB,GDP per capita (current US$),3601.770586292869
291,Algeria,DZA,GDP per capita (current US$),3827.982785150769
292,American Samoa,ASM,GDP per capita (current US$),9816.58579211876
293,Andorra,AND,GDP per capita (current US$),37720.26752151087
294,Angola,AGO,GDP per capita (current US$),2790.9028885234256
295,Antigua and Barbuda,ATG,GDP per capita (current US$),13127.951317920031
296,Armenia,ARM,GDP per capita (current US$),2896.891724195995
297,Aruba,ABW,GDP per capita (current US$),24669.778170171998
298,Austria,AUT,GDP per capita (current US$),42618.331859267295
299,Azerbaijan,AZE,GDP per capita (current US$),4236.3141401142375
300,"Bahamas, The",BHS,GDP per capita (current US$),28654.22864144019
301,Bahrain,BHR,GDP per capita (current US$),19843.826683145977
302,Bangladesh,BGD,GDP per capita (current US$),935.7134674101891
303,Barbados,BRB,GDP per capita (current US$),14904.543424583337
304,Belarus,BLR,GDP per capita (current US$),4997.908549497766
305,Belgium,BEL,GDP per capita (current US$),39797.067883807744
306,Belize,BLZ,GDP per capita (current US$),4164.435553061393
307,Benin,BEN,GDP per capita (current US$),976.8828054526412
308,Bermuda,BMU,GDP per capita (current US$),90985.54199782538
309,Bhutan,BTN,GDP per capita (current US$),2045.3405435820207
310,Bolivia,BOL,GDP per capita (current US$),2070.5563643111836
311,Bosnia and Herzegovina,BIH,GDP per capita (current US$),4179.873112248433
312,Botswana,BWA,GDP per capita (current US$),5878.3449609576355
313,British Virgin Islands,VGB,GDP per capita (current US$),
314,Brunei Darussalam,BRN,GDP per capita (current US$),30478.618912311435
315,Bulgaria,BGR,GDP per capita (current US$),6148.367568524009
316,Burkina Faso,BFA,GDP per capita (current US$),591.3794566532046
317,Burundi,BDI,GDP per capita (current US$),200.24457652788516
318,Cabo Verde,CPV,GDP per capita (current US$),2872.57822448925
319,Cambodia,KHM,GDP per capita (current US$),838.8140689977686
320,Cameroon,CMR,GDP per capita (current US$),1258.584131308626
321,Canada,CAN,GDP per capita (current US$),40726.17285119786
322,Cayman Islands,CYM,GDP per capita (current US$),
323,Central African Republic,CAF,GDP per capita (current US$),394.5892472415251
324,Chad,TCD,GDP per capita (current US$),699.255640121044
325,Channel Islands,CHI,GDP per capita (current US$),
326,Chile,CHL,GDP per capita (current US$),11024.49460121491
327,Colombia,COL,GDP per capita (current US$),5243.286551326543
328,Comoros,COM,GDP per capita (current US$),1198.3120165134349
329,"Congo, Dem. Rep.",COD,GDP per capita (current US$),348.30182695240387
330,"Congo, Rep.",COG,GDP per capita (current US$),2350.1892918195385
331,Costa Rica,CRI,GDP per capita (current US$),8029.24309103515
332,Cote d'Ivoire,CIV,GDP per capita (current US$),1634.7349384682855
333,Croatia,HRV,GDP per capita (current US$),12113.76779819577
334,Cuba,CUB,GDP per capita (current US$),5622.5704055677725
335,Curacao,CUW,GDP per capita (current US$),
336,Cyprus,CYP,GDP per capita (current US$),25840.327097039473
337,Czech Republic,CZE,GDP per capita (current US$),17121.14841737757
338,Denmark,DNK,GDP per capita (current US$),52154.6125622934
339,Djibouti,DJI,GDP per capita (current US$),1663.9078937439645
340,Dominica,DMA,GDP per capita (current US$),6281.203978760595
341,Dominican Republic,DOM,GDP per capita (current US$),5234.929795186405
342,Ecuador,ECU,GDP per capita (current US$),4449.204920420617
343,"Egypt, Arab Rep.",EGY,GDP per capita (current US$),2230.2983503512864
344,El Salvador,SLV,GDP per capita (current US$),2982.5716008169716
345,Equatorial Guinea,GNQ,GDP per capita (current US$),12677.327575893705
346,Eritrea,ERI,GDP per capita (current US$),
347,Estonia,EST,GDP per capita (current US$),15033.699868197902
348,Eswatini,SWZ,GDP per capita (current US$),3307.5619188029173
349,Ethiopia,ETH,GDP per capita (current US$),403.12320896273746
350,Faroe Islands,FRO,GDP per capita (current US$),47140.95175436413
351,Fiji,FJI,GDP per capita (current US$),4210.064895439527
352,Finland,FIN,GDP per capita (current US$),42364.900989259106
353,French Polynesia,PYF,GDP per capita (current US$),
354,Gabon,GAB,GDP per capita (current US$),7447.674726776492
355,"Gambia, The",GMB,GDP per capita (current US$),656.1735940392824
356,Georgia,GEO,GDP per capita (current US$),3077.9730794058437
357,Ghana,GHA,GDP per capita (current US$),1316.2766736602832
358,Gibraltar,GIB,GDP per capita (current US$),
359,Greece,GRC,GDP per capita (current US$),21257.522906312926
360,Greenland,GRL,GDP per capita (current US$),40187.87298593782
361,Grenada,GRD,GDP per capita (current US$),7400.590174459408
362,Guam,GUM,GDP per capita (current US$),29273.43176494364
363,Guatemala,GTM,GDP per capita (current US$),2948.509515795678
364,Guinea,GIN,GDP per capita (current US$),627.9638121665438
365,Guinea-Bissau,GNB,GDP per capita (current US$),543.2429042939794
366,Guyana,GUY,GDP per capita (current US$),3963.087840251178
367,Haiti,HTI,GDP per capita (current US$),1067.6069079569636
368,Honduras,HND,GDP per capita (current US$),1788.9033971820586
369,"Hong Kong SAR, China",HKG,GDP per capita (current US$),33348.12040277268
370,Hungary,HUN,GDP per capita (current US$),12262.59227935098
371,Iceland,ISL,GDP per capita (current US$),51207.31386984013
372,"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4774.940230548676
373,Iraq,IRQ,GDP per capita (current US$),4042.4415201471734
374,Ireland,IRL,GDP per capita (current US$),53339.03818920482
375,Isle of Man,IMN,GDP per capita (current US$),62543.17645784628
376,Israel,ISR,GDP per capita (current US$),29140.077606474748
377,Jamaica,JAM,GDP per capita (current US$),4397.164219062516
378,Jordan,JOR,GDP per capita (current US$),3217.4168819204024
379,Kazakhstan,KAZ,GDP per capita (current US$),7628.707907424944
380,Kenya,KEN,GDP per capita (current US$),1042.7874245660128
381,Kiribati,KIR,GDP per capita (current US$),1357.983354858006
382,"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),
383,Kosovo,XKX,GDP per capita (current US$),
384,Kuwait,KWT,GDP per capita (current US$),35258.4789946028
385,Kyrgyz Republic,KGZ,GDP per capita (current US$),875.0164139894162
386,Lao PDR,LAO,GDP per capita (current US$),1303.3510380710386
387,Latvia,LVA,GDP per capita (current US$),11834.427331482257
388,Lebanon,LBN,GDP per capita (current US$),6275.066259260968
389,Lesotho,LSO,GDP per capita (current US$),930.4542619780832
390,Liberia,LBR,GDP per capita (current US$),507.9951077223491
391,Libya,LBY,GDP per capita (current US$),8993.571913931122
392,Liechtenstein,LIE,GDP per capita (current US$),133645.8488523448
393,Lithuania,LTU,GDP per capita (current US$),12126.869124038441
394,Luxembourg,LUX,GDP per capita (current US$),97028.24511143373
395,"Macao SAR, China",MAC,GDP per capita (current US$),53258.85917002229
396,Madagascar,MDG,GDP per capita (current US$),429.9869032669827
397,Malawi,MWI,GDP per capita (current US$),372.0015098389734
398,Malaysia,MYS,GDP per capita (current US$),8093.592337147351
399,Maldives,MDV,GDP per capita (current US$),6550.7568599214355
400,Mali,MLI,GDP per capita (current US$),647.105891185117
401,Malta,MLT,GDP per capita (current US$),20879.61279780987
402,Marshall Islands,MHL,GDP per capita (current US$),2850.693693110106
403,Mauritania,MRT,GDP per capita (current US$),1350.2463767224633
404,Mauritius,MUS,GDP per capita (current US$),7637.605835752513
405,"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),2668.2545723500343
406,Moldova,MDA,GDP per capita (current US$),2254.3480231774806
407,Monaco,MCO,GDP per capita (current US$),148149.57192030168
408,Mongolia,MNG,GDP per capita (current US$),2573.2797813278507
409,Montenegro,MNE,GDP per capita (current US$),5828.55989682428
410,Morocco,MAR,GDP per capita (current US$),2522.513659025495
411,Mozambique,MOZ,GDP per capita (current US$),472.77829516304536
412,Myanmar,MMR,GDP per capita (current US$),717.2288229100539
413,Namibia,NAM,GDP per capita (current US$),4317.907378368842
414,Nauru,NRU,GDP per capita (current US$),
415,Nepal,NPL,GDP per capita (current US$),624.8326576910922
416,New Caledonia,NCL,GDP per capita (current US$),31277.563253718516
417,New Zealand,NZL,GDP per capita (current US$),32519.63258504325
418,Nicaragua,NIC,GDP per capita (current US$),1508.8902362478093
419,Niger,NER,GDP per capita (current US$),423.0139295909068
420,Nigeria,NGA,GDP per capita (current US$),1903.4777799083156
421,North Macedonia,MKD,GDP per capita (current US$),4207.798092825404
422,Northern Mariana Islands,MNP,GDP per capita (current US$),17386.16999407585
423,Norway,NOR,GDP per capita (current US$),74836.59324077703
424,Oman,OMN,GDP per capita (current US$),16616.587966694286
425,Pakistan,PAK,GDP per capita (current US$),1040.1619994633425
426,Palau,PLW,GDP per capita (current US$),11301.466017532168
427,Panama,PAN,GDP per capita (current US$),9022.933221310013
428,Papua New Guinea,PNG,GDP per capita (current US$),1825.737371158152
429,Paraguay,PRY,GDP per capita (current US$),3873.908152388109
430,Peru,PER,GDP per capita (current US$),4659.326671596576
431,Philippines,PHL,GDP per capita (current US$),2140.962598912948
432,Poland,POL,GDP per capita (current US$),11003.820626470735
433,Portugal,PRT,GDP per capita (current US$),19684.945101075413
434,Puerto Rico,PRI,GDP per capita (current US$),24927.02262340025
435,Qatar,QAT,GDP per capita (current US$),59669.203393694515
436,Romania,ROU,GDP per capita (current US$),7686.736626912676
437,Rwanda,RWA,GDP per capita (current US$),545.1970436370494
438,Samoa,WSM,GDP per capita (current US$),3246.252043773132
439,San Marino,SMR,GDP per capita (current US$),52318.03463696466
440,Sao Tome and Principe,STP,GDP per capita (current US$),1203.4343434029795
441,Senegal,SEN,GDP per capita (current US$),1149.8028722109466
442,Serbia,SRB,GDP per capita (current US$),5276.094322750134
443,Seychelles,SYC,GDP per capita (current US$),12081.409614275672
444,Sierra Leone,SLE,GDP per capita (current US$),423.7559510267322
445,Singapore,SGP,GDP per capita (current US$),43849.9227190655
446,Sint Maarten (Dutch part),SXM,GDP per capita (current US$),
447,Slovak Republic,SVK,GDP per capita (current US$),14787.255430057081
448,Slovenia,SVN,GDP per capita (current US$),20791.154713127835
449,Solomon Islands,SLB,GDP per capita (current US$),1597.5473730028798
450,Somalia,SOM,GDP per capita (current US$),
451,South Africa,ZAF,GDP per capita (current US$),6124.359203823126
452,South Sudan,SSD,GDP per capita (current US$),
453,Sri Lanka,LKA,GDP per capita (current US$),2518.5900375575447
454,St. Kitts and Nevis,KNA,GDP per capita (current US$),15287.651869116557
455,St. Lucia,LCA,GDP per capita (current US$),8307.34610525319
456,St. Martin (French part),MAF,GDP per capita (current US$),
457,St. Vincent and the Grenadines,VCT,GDP per capita (current US$),6220.600508773926
458,Sudan,SDN,GDP per capita (current US$),1415.5498207493838
459,Suriname,SUR,GDP per capita (current US$),6125.332755553869
460,Sweden,SWE,GDP per capita (current US$),48079.653576983816
461,Syrian Arab Republic,SYR,GDP per capita (current US$),
462,Tajikistan,TJK,GDP per capita (current US$),658.1059725174474
463,Tanzania,TZA,GDP per capita (current US$),718.8066213507403
464,Thailand,THA,GDP per capita (current US$),4633.390322683858
465,Timor-Leste,TLS,GDP per capita (current US$),854.4421366264114
466,Togo,TGO,GDP per capita (current US$),549.7331605608532
467,Tonga,TON,GDP per capita (current US$),3391.58390201728
468,Trinidad and Tobago,TTO,GDP per capita (current US$),15043.156424143011
